x,y,pupilD
950.07,335.78999999999996,554.7
952.1699999999998,343.18,556.3
950.6600000000001,347.91,558.7
945.36,349.58000000000004,560.5
942.55,352.84000000000003,561.7
941.39,353.13,563.8
939.9399999999999,351.21000000000004,564.2
939.11,349.84,567.0
938.46,352.20000000000005,569.3
938.2699999999999,352.65999999999997,569.0
939.9100000000001,353.34000000000003,569.2
942.2299999999999,354.90000000000003,570.7
941.7,347.14,567.1
940.4100000000001,347.63,566.7
940.1299999999999,348.16999999999996,567.4
940.32,348.36,569.0
940.4599999999998,350.7199999999999,570.7
939.3399999999999,349.61,572.9
938.0799999999999,350.6,574.3
935.9200000000001,350.1,575.3
933.51,345.85,576.1
932.76,344.96999999999997,580.1
932.9400000000002,347.21999999999997,585.7
934.7900000000002,349.18000000000006,589.9
935.3800000000001,347.75,593.1
935.2199999999999,347.67,596.0
935.3,348.66999999999996,598.6
934.4399999999999,350.16999999999996,600.0
936.49,350.41,601.2
936.8399999999999,351.42,602.7
938.0699999999999,352.83000000000004,605.0
937.2,355.62,608.1
937.3299999999999,357.7,609.6
938.0600000000001,360.23999999999995,610.9
899.85,362.59000000000003,617.6
902.1199999999999,366.0199999999999,617.6
899.29,371.17999999999995,619.3
898.53,371.09000000000003,621.4
896.6200000000001,370.9,621.8
895.3399999999999,371.67999999999995,622.2
894.4399999999999,371.19,626.8
895.0400000000002,370.61,628.9
893.47,372.33000000000004,627.7
893.89,376.22,631.4
892.89,374.09,631.3
891.8100000000001,374.0400000000001,633.6
892.39,378.9,634.8
894.6,384.5,634.3
897.15,385.0,634.0
897.7,384.12999999999994,633.8
896.01,385.99999999999994,634.4
895.2,412.89,633.7
902.3799999999999,626.74,649.9
914.4799999999999,747.8,654.3
919.99,763.19,653.7
920.2199999999999,755.5899999999999,650.2
922.4399999999999,753.3199999999999,651.7
923.8799999999999,751.58,652.3
925.75,750.1000000000001,653.1
924.9399999999999,750.3799999999999,650.8
920.4100000000001,748.68,648.0
919.3300000000002,748.1899999999999,648.9
917.15,749.25,648.7
916.9,749.7399999999999,650.3
916.1,748.8399999999999,648.7
914.0,747.6600000000001,649.6
913.0600000000001,745.86,647.6
910.07,741.77,642.7
906.0800000000002,737.1299999999999,637.3
898.86,731.8399999999999,631.6
897.4699999999999,731.44,633.1
899.5199999999999,726.95,631.1
907.8700000000001,724.6700000000001,628.5
909.0799999999999,727.64,629.9
908.9199999999998,727.37,629.0
897.3399999999999,698.95,628.6
874.45,491.3800000000001,625.9
898.03,358.12,619.9
902.6600000000001,353.28,617.9
903.6900000000002,356.85,615.5
905.4800000000001,362.87,618.1
905.15,362.57000000000005,616.7
906.1300000000001,366.8399999999999,620.6
